Type,Name,Ident,Latitude,Longitude,Elevation,Magnetic Declination,Tags,Description,Region,Visible From,Last Edit,Import Filename
Waypoint,Echo,EPSYE,53.47389,20.96750,,,,EPSY/IFR/VFR,,,,
Waypoint,Whiskey,EPSYW,53.50194,20.89861,,,,EPSY/IFR/VFR,,,,
Waypoint,Zulu,EPSYZ,53.42028,21.11806,,,,EPSY/IFR/VFR,,,,
Waypoint,Bravo,EPTMB,51.52944,20.42917,,,,EPTM/MIL,,,,
Waypoint,Delta,EPTMD,51.44472,20.46028,,,,EPTM/MIL,,,,
Waypoint,Echo,EPTME,51.52722,20.22639,,,,EPTM/MIL,,,,
Waypoint,Golf,EPTMG,51.69722,19.88861,,,,EPTM/MIL,,,,
Waypoint,Hotel,EPTMH,51.71222,20.03639,,,,EPTM/MIL,,,,
Waypoint,India,EPTMI,51.65028,19.80167,,,,EPTM/MIL,,,,
Waypoint,Juliett,EPTMJ,51.52222,20.06278,,,,EPTM/MIL,,,,
Waypoint,Mike,EPTMM,51.67667,20.21944,,,,EPTM/MIL,,,,
Waypoint,November,EPTMN,51.65722,20.16056,,,,EPTM/MIL,,,,
Waypoint,Sierra,EPTMS,51.47472,20.00611,,,,EPTM/MIL,,,,
Waypoint,Uniform,EPTMU,51.40000,20.18583,,,,EPTM/MIL,,,,
Waypoint,Whiskey,EPTMW,51.60111,19.92194,,,,EPTM/MIL,,,,
Waypoint,Zulu,EPTMZ,51.59833,20.29806,,,,EPTM/MIL,,,,
Waypoint,Alfa,EPWAA,52.06333,20.74333,,,,EPWA/IFR/VFR,,,,
Waypoint,Bravo,EPWAB,52.18417,20.61389,,,,EPWA/IFR/VFR,,,,
Waypoint,Delta,EPWAD,52.34333,21.22778,,,,EPWA/IFR/VFR,,,,
Waypoint,Echo,EPWAE,52.18167,20.98611,,,,EPWA/IFR/VFR,,,,
Waypoint,Foxtrot,EPWAF,52.26083,20.73556,,,,EPWA/IFR/VFR,,,,
Waypoint,Golf,EPWAG,51.99083,21.23472,,,,EPWA/IFR/VFR,,,,
Waypoint,Juliett,EPWAJ,52.37778,20.91667,,,,EPWA/IFR/VFR,,,,
Waypoint,Kilo,EPWAK,52.09139,21.23750,,,,EPWA/IFR/VFR,,,,
Waypoint,Lima,EPWAL,52.33333,20.88333,,,,EPWA/IFR/VFR,,,,
Waypoint,Mike,EPWAM,52.22278,21.25000,,,,EPWA/IFR/VFR,,,,
Waypoint,November,EPWAN,52.21750,21.09722,,,,EPWA/IFR/VFR,,,,
Waypoint,Oscar,EPWAO,52.19750,21.05167,,,,EPWA/IFR/VFR,,,,
Waypoint,Papa,EPWAP,52.30472,21.08389,,,,EPWA/IFR/VFR,,,,
Waypoint,Romeo,EPWAR,52.13500,20.88944,,,,EPWA/IFR/VFR,,,,
Waypoint,Tango,EPWAT,51.97056,20.83361,,,,EPWA/IFR/VFR,,,,
Waypoint,Whiskey,EPWAW,52.15667,20.94972,,,,EPWA/IFR/VFR,,,,
Waypoint,X-ray,EPWAX,52.10861,20.83083,,,,EPWA/IFR/VFR,,,,
Waypoint,Zulu,EPWAZ,52.29028,21.01083,,,,EPWA/IFR/VFR,,,,
Waypoint,Echo,EPWKE,52.53306,19.13694,,,,EPWK/VFR,,,,
Waypoint,November,EPWKN,52.65694,19.13389,,,,EPWK/VFR,,,,
Waypoint,Sierra,EPWKS,52.47472,18.88472,,,,EPWK/VFR,,,,
Waypoint,Whiskey,EPWKW,52.60361,18.88667,,,,EPWK/VFR,,,,
Waypoint,Golf,EPWRG,50.98944,16.83417,,,,EPWR/IFR/VFR,,,,
Waypoint,Kilo,EPWRK,51.04833,16.61333,,,,EPWR/IFR/VFR,,,,
Waypoint,November,EPWRN,51.12583,16.90306,,,,EPWR/IFR/VFR,,,,
Waypoint,Romeo,EPWRR,51.15556,16.95889,,,,EPWR/IFR/VFR,,,,
Waypoint,Sierra,EPWRS,51.07500,16.88389,,,,EPWR/IFR/VFR,,,,
Waypoint,Zulu,EPWRZ,51.25000,16.84167,,,,EPWR/IFR/VFR,,,,
Waypoint,Delta,EPWSD,51.18000,17.19250,,,,EPWS/VFR,,,,
Waypoint,Oskar,EPWSO,51.29806,16.90917,,,,EPWS/VFR,,,,
Waypoint,Tango,EPWST,51.30139,17.06250,,,,EPWS/VFR,,,,
Waypoint,Alfa,EPZAA,50.59389,23.17444,,,,EPZA/VFR,,,,
Waypoint,Bravo,EPZAB,50.71806,23.03278,,,,EPZA/VFR,,,,
Waypoint,Lima,EPZAL,50.66333,23.19556,,,,EPZA/VFR,,,,
Waypoint,Sierra,EPZAS,50.75083,23.24083,,,,EPZA/VFR,,,,
Waypoint,Zulu,EPZAZ,50.72194,23.13361,,,,EPZA/VFR,,,,
Waypoint,Charlie,EPZGC,52.03167,15.62694,,,,EPZG/IFR/VFR,,,,
Waypoint,Delta,EPZGD,52.15806,15.52000,,,,EPZG/IFR/VFR,,,,
Waypoint,India,EPZGI,52.30417,16.13139,,,,EPZG/IFR/VFR,,,,
Waypoint,Kilo,EPZGK,52.06667,15.86000,,,,EPZG/IFR/VFR,,,,
Waypoint,November,EPZGN,52.16472,15.81194,,,,EPZG/IFR/VFR,,,,
Waypoint,Sierra,EPZGS,52.12167,15.81028,,,,EPZG/IFR/VFR,,,,
Waypoint,Whiskey,EPZGW,52.09750,16.09528,,,,EPZG/IFR/VFR,,,,
Waypoint,Zulu,EPZGZ,52.23083,15.80556,,,,EPZG/IFR/VFR,,,,
Waypoint,Alfa,EPZPA,51.96639,15.53333,,,,EPZP/VFR,,,,
Waypoint,Charlie,EPZPC,52.00278,15.41667,,,,EPZP/VFR,,,,
Waypoint,November,EPZPN,51.99722,15.46667,,,,EPZP/VFR,,,,
Waypoint,Sierra,EPZPS,51.92222,15.44444,,,,EPZP/VFR,,,,
Waypoint,Zulu,EPZPZ,51.99972,15.56667,,,,EPZP/VFR,,,,
